ID,author_name,number_of_author_files
0,dlna_framework,63
1,applewjg,133
2,java_project_jar,39
3,Viscent,97
4,pacman,91
5,emigonza,712
6,johnno1962,54
7,Tran_Dinh_Hop,27
8,jerry_m_lumontod,25
9,BrandConstantin,56
10,jfpl,46
11,andengineexamples,86
12,wak_edil,27
13,chweixin,66
14,terma,11
15,0opslab,77
16,waimai,71
17,quyi,62
18,weijuhui,36
19,seadroid,95
20,mark-watson,49
21,Tobias_Ogallo,17
22,vlc-android-macbuild,42
23,federicodotta,28
24,sample-server,65
25,newweb,77
26,lemire,60
27,chacha,36
28,brianway,96
29,Muhammad_Wasif_Javed,19
30,Asrar_Ahmed_Makrani,24
31,pengrad,41
32,mthli,201
33,Max_Lynch,22
34,chao420456,149
35,bethrobson,31
36,weather,82
37,Josh_Code,27
38,hdzg,38
39,golangpkg,44